DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20190424,2019-04-24,Wed,April,Apr,4,2,2019
20190425,2019-04-25,Thu,April,Apr,4,2,2019
20190426,2019-04-26,Fri,April,Apr,4,2,2019
20190427,2019-04-27,Sat,April,Apr,4,2,2019
20190428,2019-04-28,Sun,April,Apr,4,2,2019
20190429,2019-04-29,Mon,April,Apr,4,2,2019
20190430,2019-04-30,Tue,April,Apr,4,2,2019
20190501,2019-05-01,Wed,May,May,5,2,2019
20190502,2019-05-02,Thu,May,May,5,2,2019
20190503,2019-05-03,Fri,May,May,5,2,2019
20190504,2019-05-04,Sat,May,May,5,2,2019
20190505,2019-05-05,Sun,May,May,5,2,2019
20190506,2019-05-06,Mon,May,May,5,2,2019
20190507,2019-05-07,Tue,May,May,5,2,2019
20190508,2019-05-08,Wed,May,May,5,2,2019
20190509,2019-05-09,Thu,May,May,5,2,2019
20190510,2019-05-10,Fri,May,May,5,2,2019
20190511,2019-05-11,Sat,May,May,5,2,2019
20190512,2019-05-12,Sun,May,May,5,2,2019
20190513,2019-05-13,Mon,May,May,5,2,2019
20190514,2019-05-14,Tue,May,May,5,2,2019
20190515,2019-05-15,Wed,May,May,5,2,2019
20190516,2019-05-16,Thu,May,May,5,2,2019
20190517,2019-05-17,Fri,May,May,5,2,2019
20190518,2019-05-18,Sat,May,May,5,2,2019
20190519,2019-05-19,Sun,May,May,5,2,2019
20190520,2019-05-20,Mon,May,May,5,2,2019
20190521,2019-05-21,Tue,May,May,5,2,2019
20190522,2019-05-22,Wed,May,May,5,2,2019
20190523,2019-05-23,Thu,May,May,5,2,2019
20190524,2019-05-24,Fri,May,May,5,2,2019
20190525,2019-05-25,Sat,May,May,5,2,2019
20190526,2019-05-26,Sun,May,May,5,2,2019
20190527,2019-05-27,Mon,May,May,5,2,2019
20190528,2019-05-28,Tue,May,May,5,2,2019
20190529,2019-05-29,Wed,May,May,5,2,2019
20190530,2019-05-30,Thu,May,May,5,2,2019
20190531,2019-05-31,Fri,May,May,5,2,2019
20190601,2019-06-01,Sat,June,Jun,6,2,2019
20190602,2019-06-02,Sun,June,Jun,6,2,2019
20190603,2019-06-03,Mon,June,Jun,6,2,2019
20190604,2019-06-04,Tue,June,Jun,6,2,2019
20190605,2019-06-05,Wed,June,Jun,6,2,2019
20190606,2019-06-06,Thu,June,Jun,6,2,2019
20190607,2019-06-07,Fri,June,Jun,6,2,2019
20190608,2019-06-08,Sat,June,Jun,6,2,2019
20190609,2019-06-09,Sun,June,Jun,6,2,2019
20190610,2019-06-10,Mon,June,Jun,6,2,2019
20190611,2019-06-11,Tue,June,Jun,6,2,2019
20190612,2019-06-12,Wed,June,Jun,6,2,2019
20190613,2019-06-13,Thu,June,Jun,6,2,2019
20190614,2019-06-14,Fri,June,Jun,6,2,2019
20190615,2019-06-15,Sat,June,Jun,6,2,2019
20190616,2019-06-16,Sun,June,Jun,6,2,2019
20190617,2019-06-17,Mon,June,Jun,6,2,2019
20190618,2019-06-18,Tue,June,Jun,6,2,2019
20190619,2019-06-19,Wed,June,Jun,6,2,2019
20190620,2019-06-20,Thu,June,Jun,6,2,2019
20190621,2019-06-21,Fri,June,Jun,6,2,2019
20190622,2019-06-22,Sat,June,Jun,6,2,2019
20190623,2019-06-23,Sun,June,Jun,6,2,2019
20190624,2019-06-24,Mon,June,Jun,6,2,2019
20190625,2019-06-25,Tue,June,Jun,6,2,2019
20190626,2019-06-26,Wed,June,Jun,6,2,2019
20190627,2019-06-27,Thu,June,Jun,6,2,2019
20190628,2019-06-28,Fri,June,Jun,6,2,2019
20190629,2019-06-29,Sat,June,Jun,6,2,2019
20190630,2019-06-30,Sun,June,Jun,6,2,2019
20190701,2019-07-01,Mon,July,Jul,7,3,2019
20190702,2019-07-02,Tue,July,Jul,7,3,2019
20190703,2019-07-03,Wed,July,Jul,7,3,2019
20190704,2019-07-04,Thu,July,Jul,7,3,2019
20190705,2019-07-05,Fri,July,Jul,7,3,2019
20190706,2019-07-06,Sat,July,Jul,7,3,2019
20190707,2019-07-07,Sun,July,Jul,7,3,2019
20190708,2019-07-08,Mon,July,Jul,7,3,2019
20190709,2019-07-09,Tue,July,Jul,7,3,2019
20190710,2019-07-10,Wed,July,Jul,7,3,2019
20190711,2019-07-11,Thu,July,Jul,7,3,2019
20190712,2019-07-12,Fri,July,Jul,7,3,2019
20190713,2019-07-13,Sat,July,Jul,7,3,2019
20190714,2019-07-14,Sun,July,Jul,7,3,2019
20190715,2019-07-15,Mon,July,Jul,7,3,2019
20190716,2019-07-16,Tue,July,Jul,7,3,2019
20190717,2019-07-17,Wed,July,Jul,7,3,2019
20190718,2019-07-18,Thu,July,Jul,7,3,2019
20190719,2019-07-19,Fri,July,Jul,7,3,2019
20190720,2019-07-20,Sat,July,Jul,7,3,2019
20190721,2019-07-21,Sun,July,Jul,7,3,2019
20190722,2019-07-22,Mon,July,Jul,7,3,2019
20190723,2019-07-23,Tue,July,Jul,7,3,2019
20190724,2019-07-24,Wed,July,Jul,7,3,2019
20190725,2019-07-25,Thu,July,Jul,7,3,2019
20190726,2019-07-26,Fri,July,Jul,7,3,2019
20190727,2019-07-27,Sat,July,Jul,7,3,2019
20190728,2019-07-28,Sun,July,Jul,7,3,2019
20190729,2019-07-29,Mon,July,Jul,7,3,2019
20190730,2019-07-30,Tue,July,Jul,7,3,2019
20190731,2019-07-31,Wed,July,Jul,7,3,2019
20190801,2019-08-01,Thu,August,Aug,8,3,2019
20190802,2019-08-02,Fri,August,Aug,8,3,2019
20190803,2019-08-03,Sat,August,Aug,8,3,2019
20190804,2019-08-04,Sun,August,Aug,8,3,2019
20190805,2019-08-05,Mon,August,Aug,8,3,2019
20190806,2019-08-06,Tue,August,Aug,8,3,2019
20190807,2019-08-07,Wed,August,Aug,8,3,2019
20190808,2019-08-08,Thu,August,Aug,8,3,2019
20190809,2019-08-09,Fri,August,Aug,8,3,2019
20190810,2019-08-10,Sat,August,Aug,8,3,2019
20190811,2019-08-11,Sun,August,Aug,8,3,2019
20190812,2019-08-12,Mon,August,Aug,8,3,2019
20190813,2019-08-13,Tue,August,Aug,8,3,2019
20190814,2019-08-14,Wed,August,Aug,8,3,2019
20190815,2019-08-15,Thu,August,Aug,8,3,2019
20190816,2019-08-16,Fri,August,Aug,8,3,2019
20190817,2019-08-17,Sat,August,Aug,8,3,2019
20190818,2019-08-18,Sun,August,Aug,8,3,2019
20190819,2019-08-19,Mon,August,Aug,8,3,2019
20190820,2019-08-20,Tue,August,Aug,8,3,2019
20190821,2019-08-21,Wed,August,Aug,8,3,2019
20190822,2019-08-22,Thu,August,Aug,8,3,2019
20190823,2019-08-23,Fri,August,Aug,8,3,2019
20190824,2019-08-24,Sat,August,Aug,8,3,2019
20190825,2019-08-25,Sun,August,Aug,8,3,2019
20190826,2019-08-26,Mon,August,Aug,8,3,2019
20190827,2019-08-27,Tue,August,Aug,8,3,2019
20190828,2019-08-28,Wed,August,Aug,8,3,2019
20190829,2019-08-29,Thu,August,Aug,8,3,2019
20190830,2019-08-30,Fri,August,Aug,8,3,2019
20190831,2019-08-31,Sat,August,Aug,8,3,2019
20190901,2019-09-01,Sun,September,Sep,9,3,2019
20190902,2019-09-02,Mon,September,Sep,9,3,2019
20190903,2019-09-03,Tue,September,Sep,9,3,2019
20190904,2019-09-04,Wed,September,Sep,9,3,2019
20190905,2019-09-05,Thu,September,Sep,9,3,2019
20190906,2019-09-06,Fri,September,Sep,9,3,2019
20190907,2019-09-07,Sat,September,Sep,9,3,2019
20190908,2019-09-08,Sun,September,Sep,9,3,2019
20190909,2019-09-09,Mon,September,Sep,9,3,2019
20190910,2019-09-10,Tue,September,Sep,9,3,2019
20190911,2019-09-11,Wed,September,Sep,9,3,2019
20190912,2019-09-12,Thu,September,Sep,9,3,2019
20190913,2019-09-13,Fri,September,Sep,9,3,2019
20190914,2019-09-14,Sat,September,Sep,9,3,2019
20190915,2019-09-15,Sun,September,Sep,9,3,2019
20190916,2019-09-16,Mon,September,Sep,9,3,2019
20190917,2019-09-17,Tue,September,Sep,9,3,2019
20190918,2019-09-18,Wed,September,Sep,9,3,2019
20190919,2019-09-19,Thu,September,Sep,9,3,2019
20190920,2019-09-20,Fri,September,Sep,9,3,2019
20190921,2019-09-21,Sat,September,Sep,9,3,2019
20190922,2019-09-22,Sun,September,Sep,9,3,2019
20190923,2019-09-23,Mon,September,Sep,9,3,2019
20190924,2019-09-24,Tue,September,Sep,9,3,2019
